,ProductName,Price(₹),Original_cost(₹),Rating,Discount(%),Delivery_offers,Type_models,Capacity (L/hr)
0,KENT Ace,15999,21000,4.4,23.0,Free delivery,Electrical & Storage,5
2,Aqua Fresh,4514,16500,4.1,72.0,Free delivery,Electrical & Storage,12
3,Aquagrand SkyLand,4822,14500,4.0,66.0,Free delivery,Electrical & Storage,18
4,Pureit Advanced,7799,11399,4.5,31.0,Free delivery,Electrical & Storage,12
5,Pureit by,9499,18500,4.5,48.0,Free delivery,Electrical & Storage,20
6,V-Guard Zenora,8499,12749,4.3,33.0,Free delivery,Electrical & Storage,15
7,KENT PRISTINE,7999,10500,4.1,23.0,Free delivery,Electrical & Storage,5
8,KENT Ace,12999,19500,4.4,33.0,Free delivery,Electrical & Storage,5
9,Aquagrand AquaXCrux,4617,12500,4.3,63.0,Free delivery,Electrical & Storage,12
10,LIVPURE LIV-PEP-PRO-PLUS+,8499,15500,4.3,45.0,Free delivery,Electrical & Storage,12
11,KENT Ace,16299,21500,4.4,24.0,Free delivery,Electrical & Storage,5
12,Aqua Fresh,4793,13999,4.0,65.0,Free delivery,Electrical & Storage,12
13,Blue Star,7999,11400,4.1,29.0,Free delivery,Electrical & Storage,8
14,Pureit Vital,13499,19999,4.7,32.0,Free delivery,Electrical & Storage,24
15,Blue Star,8299,13400,4.0,38.0,Free delivery,Electrical & Storage,8
16,Aquaguard Glory,13999,22000,4.1,36.0,Free delivery,Electrical & Storage,5
17,Aqua Frisch,4929,20000,4.3,75.0,Free delivery,Electrical & Storage,15
18,Eureka Forbes,8799,16000,4.1,45.0,Free delivery,Electrical & Storage,5
19,KENT ACE,15499,20500,4.4,24.0,Free delivery,Electrical & Storage,5
20,Aqua Fresh,4413,9142,4.1,51.0,Free delivery,Electrical & Storage,5
21,Blue Star,8999,13900,4.1,35.0,Free delivery,Electrical & Storage,8
22,Pureit Max,11699,22500,4.5,48.0,Free delivery,Electrical & Storage,24
23,Blue Star,7999,13900,4.1,42.0,Free delivery,Electrical & Storage,5
24,Aqua Fresh,4374,14289,3.9,69.0,Free delivery,Electrical & Storage,5
25,Blue Star,11499,21900,4.3,47.0,Free delivery,Electrical & Storage,15
26,LIVPURE Liv-pep-pro-star,11299,16490,4.3,31.0,Free delivery,Electrical & Storage,5
28,LIVPURE LIV-BOLT+COPPER-DX(RO+UF+MIN),12112,15000,4.4,19.0,Free delivery,Electrical & Storage,15
29,MarQ by,4464,16500,4.1,72.0,Free delivery,Electrical & Storage,10
30,HAVELLS Aquas,7999,15999,4.4,50.0,Free delivery,Electrical & Storage,5
32,Aqua Frisch,5439,20000,4.2,72.0,Free delivery,Electrical & Storage,15
33,Sure from,5499,6950,3.8,20.0,Free delivery,Electrical & Non - Storage,5
34,V-Guard Zenora,8699,13049,4.3,33.0,Free delivery,Electrical & Storage,5
36,KENT MAXX,8500,10000,4.0,15.0,Free delivery,Electrical & Storage,60
37,Blue Star,11999,19900,4.2,39.0,Free delivery,Electrical & Storage,15
38,Eureka Forbes,7999,10500,4.2,23.0,Free delivery,Electrical & Non - Storage,5
40,KENT ULTRA,5499,9000,3.9,38.0,Free delivery,Electrical & Non - Storage,60
41,Hindware Calisto,7999,14990,4.0,46.0,Free delivery,Electrical & Storage,12
42,Kinsco Aqua,4679,20000,4.3,76.0,Free delivery,Electrical & Storage,15
43,HAVELLS FAB,13499,19999,4.2,32.0,Free delivery,Electrical & Storage,15
44,Aqua Fresh,4699,13999,3.9,66.0,Free delivery,Electrical & Storage,12
45,MarQ by,4369,16500,3.8,73.0,Free delivery,Electrical & Storage,10
46,Aquagrand Skyland,4595,15500,3.8,70.0,Free delivery,Electrical & Storage,12
48,Hindware CALISTO,18990,16599,4.3,43.5,Free delivery,Electrical & Storage,5
49,Aquagrand Epic,4457,14500,4.0,69.0,Free delivery,Electrical & Storage,12
50,Aqua Ace,4769,14999,4.1,68.0,Free delivery,Electrical & Storage,5
52,KENT gold,699,750,4.1,6.0,Free delivery,Non - Electrical & Non - Storage,5
53,Aquagrand Black,4644,14500,4.0,67.0,Free delivery,Electrical & Storage,10
56,LIVPURE Linea,11699,19690,4.1,40.0,Free delivery,Electrical & Storage,12
57,V-Guard Rejive,11149,18349,4.3,39.0,Free delivery,Electrical & Storage,15
58,Pureit by,18490,23500,4.3,21.0,Free delivery,Electrical & Storage,15
61,proven Water,5034,19990,4.0,74.0,Free delivery,Electrical & Storage,5
62,Aquaguard Rapid,22999,31000,4.0,25.0,Free delivery,Electrical & Storage,5
64,V-Guard Rejive,9499,15849,4.3,40.0,Free delivery,Electrical & Storage,15
65,V-Guard Rejive,13099,20549,4.3,36.0,Free delivery,Electrical & Storage,15
66,Pureit Marvella,8490,10490,4.6,19.0,Free delivery,Electrical & Storage,120
68,KENT ELEGANT,13499,20000,4.4,32.0,Free delivery,Electrical & Storage,15
69,LIVPURE LIV-BOLT+COPPER-DX(RO+UV+MIN),13290,17990,4.4,26.0,Free delivery,Electrical & Storage,15
70,KENT Grand,18795,21000,4.2,10.0,Free delivery,Electrical & Non - Storage,5
72,Faber FWP,10499,20490,4.1,48.0,Free delivery,Electrical & Storage,5
73,Aqua Ace,5199,18499,5.0,71.0,Free delivery,Electrical & Storage,12
74,Aqua Fresh,4981,13999,3.8,64.0,Free delivery,Electrical & Storage,12
76,Aquaguard Infinia,15499,24000,4.3,35.0,Free delivery,Electrical & Storage,5
77,AO Smith,24299,29350,4.4,17.0,Free delivery,Electrical & Storage,15
78,Grand plus,3823,16500,4.5,76.0,Free delivery,Electrical & Storage,1
80,Pureit CLASSIC,7999,10799,4.4,25.0,Free delivery,Electrical & Storage,5
81,Grand plus,4499,16500,3.7,72.0,Free delivery,Electrical & Storage,5
82,Aquaultra Reeva,4290,13500,3.8,68.0,Free delivery,Electrical & Storage,5
84,HAVELLS Gracia,22590,32995,4.5,31.0,Free delivery,Electrical & Storage,5
85,KENT PEARL,19800,21500,4.5,7.0,Free delivery,Electrical & Storage,5
86,V-Guard Rejive,13599,21349,4.3,36.0,Free delivery,Electrical & Storage,5
88,V-Guard Rejive,13499,22049,4.3,38.0,Free delivery,Electrical & Storage,15
89,Aquaguard Glory,10499,15000,4.1,30.0,Free delivery,Electrical & Storage,5
90,KENT Pearl,17990,20000,4.4,10.0,Free delivery,Electrical & Storage,5
92,Aquaguard Mist,6999,10000,4.0,30.0,Free delivery,Electrical & Non - Storage,5
93,Aquaguard Enhance,17200,24000,4.4,28.0,Free delivery,Electrical & Storage,5
96,Hindware Elara,8799,15990,3.9,44.0,Free delivery,Electrical & Storage,12
97,AQUA Skyland,5199,14500,4.0,64.0,Free delivery,Electrical & Storage,18
98,AquaDpure AquaX,4899,15999,4.9,69.0,Free delivery,Electrical & Storage,12
100,KENT ELEGANT,13299,19000,4.5,30.0,Free delivery,Electrical & Storage,15
101,Aquafresh SUPREME,4899,16500,3.8,70.0,Free delivery,Electrical & Storage,12
102,Eureka Forbes,8999,16000,4.0,43.0,Free delivery,Electrical & Storage,5
104,Aqua Fresh,4699,12999,3.9,63.0,Free delivery,Electrical & Storage,5
105,Aquagrand Opel,4879,15000,3.9,67.0,Free delivery,Electrical & Storage,18
106,Aquaguard AQUAGURD,14790,21500,3.7,31.0,Free delivery,Electrical & Storage,5
108,AquaDpure 25,5974,21999,4.7,72.0,Free delivery,Electrical & Non - Storage,5
109,KENT Grand,14999,19500,4.5,23.0,Free delivery,Electrical & Storage,15
110,LIVPURE Liv-Glitz,7999,8999,3.9,11.0,Free delivery,Electrical & Storage,60
112,Aquagrand SKYLAND,4559,14500,4.1,68.0,Free delivery,Electrical & Storage,15
113,Prestige PSWP,1949,2695,3.8,27.0,Free delivery,Non - Electrical & Storage,5
114,Aqua Fresh,4319,16500,4.0,73.0,Free delivery,Electrical & Storage,18
116,V-Guard Zenora,8499,13049,4.3,34.0,Free delivery,Electrical & Storage,5
117,Remino 10,299,999,4.3,70.0,Free delivery,Electrical & Storage,5
118,WATERPURE (AWS),5499,10999,4.1,50.0,Free delivery,Electrical & Storage,25
120,Aquaguard Apex,12999,20000,4.0,35.0,Free delivery,Electrical & Storage,5
121,LG WW151NPR,19780,25490,4.5,22.0,Free delivery,Electrical & Storage,5
122,captain pure,1699,2499,4.3,32.0,Free delivery,Non - Electrical & Storage,22
124,KENT GOLD,2690,2900,3.9,7.0,Free delivery,Non - Electrical & Storage,22
125,Aquagrand Megastar,5040,17000,4.3,70.0,Free delivery,Electrical & Storage,15
126,V-Guard Zenora,10199,15949,4.3,36.0,Free delivery,Electrical & Storage,5
128,Sure from,8499,11500,4.2,26.0,Free delivery,Electrical & Storage,5
129,KENT Maxx,8500,11000,4.1,22.0,Free delivery,Electrical & Storage,5
130,HAVELLS PRO,15790,20299,4.5,22.0,Free delivery,Electrical & Storage,5
132,KENT Pride,14985,19500,4.3,23.0,Free delivery,Electrical & Storage,15
133,Pureit Copper,24888,32699,4.4,23.0,Free delivery,Electrical & Storage,5
134,KENT GOLD+(11015),2799,3300,3.9,15.0,Free delivery,Non - Electrical & Storage,5
136,Blue Star,10999,22900,4.1,51.0,Free delivery,Electrical & Storage,12
137,Aquaguard Infinia,16499,24500,4.3,32.0,Free delivery,Electrical & Storage,5
138,proven Alkaline,5219,16990,4.3,69.0,Free delivery,Electrical & Storage,5
139,KENT Ace,19500,16599,4.4,43.5,Delivery charges,Electrical & Storage,5
140,Aqua Fresh,4793,12999,3.6,63.0,Free delivery,Electrical & Storage,12
142,Grand plus,4674,16500,3.8,71.0,Free delivery,Electrical & Storage,14
144,LIVPURE LIV-PEP-PRO,9499,11999,4.2,20.0,Free delivery,Electrical & Storage,5
145,trypkon BUZZ,9499,34999,4.4,72.0,Free delivery,Electrical & Storage,20
146,MarQ by,4999,9599,3.7,47.0,Free delivery,Electrical & Storage,5
148,Ferrum ThamesPure,1710,2300,4.3,25.0,Free delivery,Non - Electrical & Storage,3
150,EUREKA FORBES,17590,21500,4.2,18.0,Free delivery,Electrical & Storage,5
152,Grand plus,1189,2999,3.7,60.0,Delivery charges,Non - Electrical & Storage,5
153,Prestige Clean,1650,2195,3.7,24.0,Free delivery,Non - Electrical & Storage,5
154,AquaDart Alkaline,4999,19999,4.1,75.0,Free delivery,Electrical & Storage,12
156,Aquafresh smokeXcrux,4674,16500,4.3,71.0,Free delivery,Electrical & Storage,5
157,Pureit by,10590,11900,4.2,11.0,Free delivery,Electrical & Storage,5
158,KENT grand,17990,20500,4.5,12.0,Free delivery,Electrical & Storage,5
160,KENT Elegant,14999,19500,4.6,23.0,Free delivery,Electrical & Storage,15
161,Grand plus,4499,16500,4.1,72.0,Free delivery,Electrical & Storage,1
162,Aqua Fresh,4699,13999,4.2,66.0,Free delivery,Electrical & Storage,12
164,AQUA BLACK,4616,14500,4.1,68.0,Free delivery,Electrical & Storage,12
165,LG WW140NP,17150,22690,4.4,24.0,Free delivery,Electrical & Storage,10
166,Pureit by,12850,14990,4.3,14.0,Free delivery,Electrical & Storage,5
168,MarQ by,4749,12300,4.1,61.0,Free delivery,Electrical & Storage,10
169,MarQ by,4321,16500,4.1,73.0,Free delivery,Electrical & Storage,10
170,Aquagrand Red,4741,14500,4.7,67.0,Free delivery,Electrical & Storage,12
172,EUREKA FORBES,10799,18000,3.6,40.0,Free delivery,Electrical & Storage,5
173,Pureit ULTIMA,22490,27399,3.7,17.0,Free delivery,Electrical & Storage,5
174,Zero B,499,599,3.8,16.0,Free delivery,Non - Electrical & Non - Storage,120
176,LG WW151NP,21157,26690,4.6,20.0,Free delivery,Electrical & Non - Storage,5
177,V-Guard Rejive,9299,15849,4.3,41.0,Free delivery,Electrical & Storage,15
178,LG WW130NP,15890,19604,4.3,18.0,Free delivery,Electrical & Storage,10
180,AQUA NATURAL,4679,15500,4.0,69.0,Free delivery,Electrical & Storage,12
181,AO Smith,16999,19500,4.4,12.0,Free delivery,Electrical & Storage,5
182,LG WW142NPC,17499,23499,4.5,25.0,Free delivery,Electrical & Storage,5
184,Grand plus,4299,16500,4.0,73.0,Free delivery,Electrical & Storage,12
185,Aquaguard 2241404223000775,18200,22500,4.3,19.0,Free delivery,Electrical & Storage,7
186,Peore Pro,14500,22999,4.5,36.0,Free delivery,Electrical & Storage,30
188,Grand plus,4399,16500,4.0,73.0,Free delivery,Electrical & Storage,15
189,Aquaguard Glory,17999,25000,4.1,28.0,Free delivery,Electrical & Storage,5
190,Pureit CLASSIC,7980,9499,4.4,15.0,Free delivery,Electrical & Storage,5
192,WATERPURE Non,1100,2000,4.3,45.0,Free delivery,Non - Electrical & Storage,16
193,AQUA Epic,4599,13500,3.9,65.0,Free delivery,Electrical & Storage,5
194,Faber FWP,14990,16599,5.0,43.5,Free delivery,Electrical & Storage,5
196,AO Smith,12599,20475,4.2,38.0,Free delivery,Electrical & Storage,5
198,Faber FWP,7390,14990,4.3,50.0,Free delivery,Electrical & Storage,5
200,Remino 50,10449,29999,4.0,65.0,Free delivery,Electrical & Non - Storage,50
201,AQUA AQU-SS-GR-AM-,4409,12275,4.2,64.0,Delivery charges,Electrical & Storage,15
202,Aquaultra Advance,5120,13500,4.3,62.0,Free delivery,Electrical & Storage,5
204,Aquatec Plus,5509,13999,4.5,60.0,Free delivery,Electrical & Storage,15
205,proven Alkaline,5174,16990,4.4,69.0,Free delivery,Electrical & Storage,12
206,HAVELLS Delite,16918,22999,4.3,26.0,Free delivery,Electrical & Storage,5
208,Peore Pro,14500,22999,4.6,36.0,Free delivery,Electrical & Storage,5
209,Aquaguard Enhance,17850,24000,4.3,25.0,Free delivery,Electrical & Storage,5
210,nexus pure,6079,17422,4.2,65.0,Free delivery,Electrical & Storage,20
212,Pureit CLASSIC,7050,8390,4.4,15.0,Free delivery,Electrical & Storage,5
214,LG WW184EPC,27600,36099,4.7,23.0,Free delivery,Electrical & Storage,5
216,BRITA Flow,3949,4999,4.3,21.0,Free delivery,Non - Electrical & Storage,5
218,Aqua Flow,5699,14999,3.5,62.0,Free delivery,Electrical & Storage,15
220,SAMTA Techno,10440,25990,4.5,59.0,Free delivery,Electrical & Storage,10000
221,Pureit CLASSIC,10990,12900,4.2,14.0,Free delivery,Electrical & Storage,5
222,Aqua Fresh,4319,16500,4.0,73.0,Free delivery,Electrical & Storage,5
224,LG WW184EPB,27380,36999,4.3,25.0,Free delivery,Electrical & Storage,5
225,Aqua Fresh,4887,13999,3.7,65.0,Free delivery,Electrical & Storage,5
226,AO Smith,21999,31850,4.4,30.0,Free delivery,Electrical & Storage,15
228,KENT 11138,6250,9000,4.7,30.0,Free delivery,Electrical & Non - Storage,5
229,Aquatec Plus,7599,14499,4.3,47.0,Free delivery,Electrical & Storage,15
230,EUREKA FORBES,15000,17990,4.3,16.0,Free delivery,Electrical & Storage,5
232,Hydroshell 100,16149,39999,4.8,59.0,Free delivery,Electrical & Non - Storage,100
233,AQUA SKYLAND,5224,15500,4.0,66.0,Free delivery,Electrical & Storage,18
234,Hydroshell 50,11399,38999,4.2,70.0,Free delivery,Electrical & Non - Storage,50
236,Whirlpool Minerala,9390,18500,4.0,49.0,Free delivery,Electrical & Storage,5
237,AO Smith,12768,13800,4.0,7.0,Free delivery,Electrical & Storage,15
238,Hindware Elara,9999,17990,4.3,44.0,Free delivery,Electrical & Storage,5
240,Royal Aquafresh,4249,16500,3.7,74.0,Free delivery,Electrical & Storage,5
241,Pureit COPPER+,24999,26490,4.4,5.0,Free delivery,Electrical & Storage,5
242,Aquatec Plus,7931,14499,4.3,45.0,Free delivery,Electrical & Storage,15
244,AQUA grand,5034,14500,3.9,65.0,Free delivery,Electrical & Storage,5
246,nexus pure,4749,17421,4.1,72.0,Free delivery,Electrical & Storage,15
248,Aquaultra Sophia,4999,13500,4.3,62.0,Free delivery,Electrical & Storage,5
249,Tata Swach,12999,14999,4.3,13.0,Free delivery,Electrical & Storage,5
250,HAVELLS UTC,18490,25599,4.9,27.0,Free delivery,Electrical & Storage,15
252,Aquagrand White,4599,17500,4.3,73.0,Free delivery,Electrical & Storage,15
253,Aquaguard regal,14699,21500,3.7,31.0,Free delivery,Electrical & Storage,5
254,Aquaguard Pride,2799,3199,3.9,12.0,Free delivery,Non - Electrical & Storage,5
256,Aquaguard Regal,12495,16000,3.7,21.0,Free delivery,Electrical & Storage,5
257,nexus pure,5414,15499,3.9,65.0,Free delivery,Electrical & Storage,20
258,MarQ by,4369,16500,4.3,73.0,Free delivery,Electrical & Storage,10
260,proven Fully,5032,17990,4.3,72.0,Free delivery,Electrical & Storage,5
261,AQUA Aqua_LC,5482,13999,4.3,60.0,Free delivery,Electrical & Storage,18
262,LG WW174NPC,22150,29499,4.8,24.0,Free delivery,Electrical & Storage,10
264,KENT Pearl,18299,20500,4.3,10.0,Free delivery,Electrical & Storage,20
265,Midea MWP080AI6,6499,17990,3.8,63.0,Free delivery,Electrical & Storage,12
266,Noir Aqua,5799,11999,4.2,51.0,Free delivery,Electrical & Storage,15
268,Aqua Fresh,4511,12999,3.7,65.0,Free delivery,Electrical & Storage,12
269,Noir Aqua,6999,12999,4.1,46.0,Free delivery,Electrical & Storage,18
270,Kinsco Black,6479,20000,4.1,67.0,Free delivery,Electrical & Storage,15
272,Aqua Fresh,4409,16500,4.0,73.0,Free delivery,Electrical & Storage,10
273,AquaDart Copper,4849,19999,3.9,75.0,Free delivery,Electrical & Storage,12
274,HAVELLS UV,9840,12242,3.8,19.0,Free delivery,Electrical & Storage,5
276,HAVELLS Max,15941,17499,4.2,8.0,Free delivery,Electrical & Storage,5
277,Prestige 49022,3750,4995,3.9,24.0,Free delivery,Non - Electrical & Storage,5
278,Aquatec Plus,7362,13999,4.3,47.0,Free delivery,Electrical & Storage,15
280,Aqua Fresh,4793,13999,3.9,65.0,Free delivery,Electrical & Storage,12
281,Faber FWP,8794,20600,4.2,57.0,Free delivery,Electrical & Storage,5
282,Hydroshell Water,4749,13999,3.7,66.0,Free delivery,Electrical & Non - Storage,12
284,nexus pure,5414,17479,4.0,69.0,Free delivery,Electrical & Storage,20
285,proven 3000,5749,16999,3.8,66.0,Free delivery,Electrical & Storage,5
286,R.K. AQUA,5399,15999,4.3,66.0,Free delivery,Electrical & Storage,5
288,Aquaguard PREMIER,16280,22000,3.8,26.0,Free delivery,Electrical & Storage,5
289,Hydroshell Active,5299,15999,4.3,66.0,Free delivery,Electrical & Storage,12
290,nexus pure,5413,15499,4.0,65.0,Free delivery,Electrical & Storage,20
292,AquaActive MistyROUVPFWhiteBlue,8160,23700,4.0,65.0,Delivery charges,Electrical & Storage,14
293,E.F.M Epic,4899,13500,4.2,63.0,Free delivery,Electrical & Storage,15
294,LIVPURE Linea,10499,17690,3.7,40.0,Free delivery,Electrical & Storage,12
296,LG ,17989,21990,4.3,18.0,Free delivery,Electrical & Storage,5
297,aquadeal MIRACLE,5984,16999,4.2,64.0,Free delivery,Electrical & Storage,15
298,BRITA Marella,1899,2499,4.3,24.0,Free delivery,Non - Electrical & Storage,5
