,ProductName,Price(₹),Original_cost(₹),Rating,Discount(%),Delivery_offers,Type_models,Capacity (L/hr)
653,Royal Aquafresh,4392,12125,3.9,63.0,Free delivery,Electrical & Storage,12
654,KENT PRIDE+,15290,20000,4.3,23.0,Free delivery,Electrical & Storage,5
656,BePURE Dew,8999,14999,4.3,40.0,Free delivery,Electrical & Storage,15
657,Aquagrand Epic,4780,14000,4.1,65.0,Free delivery,Electrical & Storage,5
658,Aqua Fresh,4746,9999,4.0,52.0,Free delivery,Electrical & Storage,9
660,E.F.M Ultraviolet,220,550,4.8,60.0,Free delivery,Electrical & Non - Storage,5
661,Aqua Ultra,5450,13500,3.6,59.0,Free delivery,Electrical & Storage,15
662,AQUA PAERL,6450,18505,4.0,65.0,Free delivery,Electrical & Storage,15
664,LG WW182EP,24214,33990,4.5,28.0,Free delivery,Electrical & Storage,5
665,Aqua Fresh,4576,13500,3.8,66.0,Free delivery,Electrical & Storage,5
668,Eureka Forbes,16550,20500,4.3,19.0,Free delivery,Electrical & Storage,22
669,AquaActive Smart,14190,34500,3.7,58.0,Delivery charges,Electrical & Storage,15
670,Aquaguard Maxima,8399,10000,4.3,16.0,Free delivery,Electrical & Non - Storage,5
672,Noir Aqua,5399,9899,4.0,45.0,Free delivery,Electrical & Storage,18
674,Grand plus,4399,16500,3.3,73.0,Free delivery,Electrical & Storage,5
676,KENT STERLING,18530,20000,4.3,7.0,Free delivery,Electrical & Storage,5
677,super aqua,6900,12500,4.3,44.0,Free delivery,Electrical & Storage,10
678,Aqua Fresh,4949,16500,4.3,70.0,Free delivery,Electrical & Storage,12
680,Aquaguard Premier,12599,15000,4.3,16.0,Free delivery,Electrical & Storage,5
681,KENT Ace,17999,26500,4.5,32.0,Free delivery,Electrical & Storage,20
682,Royal Aquafresh,4473,16500,4.2,72.0,Free delivery,Electrical & Storage,5
685,Hindware KAARA,13490,18990,4.3,28.0,Free delivery,Electrical & Storage,15
686,Aqua Fresh,4699,13999,4.3,66.0,Free delivery,Electrical & Storage,12
688,Aquagrand SWIFT,4939,13500,4.3,63.0,Free delivery,Electrical & Storage,15
689,Kinsco Aqua,4939,20000,3.9,75.0,Free delivery,Electrical & Storage,15
692,Blue Star,10499,14400,4.6,27.0,Free delivery,Electrical & Storage,5
693,Remino AquaX,4949,15999,4.3,69.0,Free delivery,Electrical & Storage,12
694,NPT PURIFICATION,1800,2499,4.3,27.0,Delivery charges,Non - Electrical & Storage,5
696,Aqua Fresh,4606,16500,4.3,72.0,Free delivery,Electrical & Storage,12
697,trypkon CAMRY,4643,15999,4.3,70.0,Free delivery,Electrical & Storage,20
698,KENT ELEGANT,15990,21500,4.3,25.0,Free delivery,Electrical & Storage,5
700,Grand plus,4452,15000,4.7,70.0,Free delivery,Electrical & Storage,5
701,Aquaguard SUPERB,16500,21500,4.3,23.0,Delivery charges,Electrical & Storage,5
702,AquaActive Hot,14490,37000,4.3,60.0,Free delivery,Electrical & Storage,5
705,LIVPURE PEP,10426,16467,4.0,36.0,Delivery charges,Electrical & Storage,5
706,LIVPURE LIV-PLATINO-PLUS-COPPER2000,18300,21990,4.8,16.0,Delivery charges,Electrical & Storage,15
708,Aquaultra ULS,4390,13500,4.3,67.0,Free delivery,Electrical & Storage,5
709,Aquaguard Regal,12599,16000,4.3,21.0,Free delivery,Electrical & Storage,5
710,Aquamart Water,4999,15999,4.3,68.0,Free delivery,Electrical & Storage,6000
712,R.K. AQUA,4499,15999,4.1,71.0,Free delivery,Electrical & Storage,10
714,G Series,12990,21990,4.3,40.0,Delivery charges,Electrical & Storage,5
716,AQUA GRAND,4391,13222,3.8,66.0,Delivery charges,Electrical & Storage,15
717,AQUA Z-plus-,4456,12885,3.8,65.0,Delivery charges,Electrical & Storage,15
718,WATERPURE Non,1282,1900,4.3,32.0,Free delivery,Non - Electrical & Storage,16
720,aquadeal 4G,15190,24990,4.3,39.0,Free delivery,Electrical & Storage,18
721,Aqua Fresh,4887,14999,3.7,67.0,Free delivery,Electrical & Storage,12
722,CUCKOO CP-RN702MBK,12591,13990,4.3,10.0,Free delivery,Electrical & Non - Storage,5
724,Aquaultra Fiume,4848,13500,2.7,64.0,Free delivery,Electrical & Storage,15
725,super aqua,6900,12990,3.6,46.0,Free delivery,Electrical & Storage,10
726,Pureit Ultima,22340,27399,4.8,18.0,Delivery charges,Electrical & Storage,5
728,Aquaultra A1011,4290,9990,3.7,57.0,Free delivery,Electrical & Storage,5
729,Aqua Active,15383,21000,4.3,26.0,Free delivery,Electrical & Storage,5
730,AQUA pearl,7999,17999,4.3,55.0,Delivery charges,Electrical & Storage,12
732,Aquaguard Eden,27699,38500,4.3,28.0,Free delivery,Electrical & Storage,5
733,G Series,9000,20000,3.7,55.0,Delivery charges,Electrical & Storage,5
734,Aquafresh Alfa,4793,13999,4.0,65.0,Free delivery,Electrical & Storage,12
736,pure master,7599,14999,4.3,49.0,Delivery charges,Electrical & Storage,15
737,LG L.G,16350,20090,4.3,18.0,Free delivery,Electrical & Storage,5
738,Hydroshell AquaX,4899,15999,4.3,69.0,Free delivery,Electrical & Storage,12
740,Royal Aquafresh,4499,16500,4.5,72.0,Free delivery,Electrical & Storage,10
741,Aqua Fresh,3994,16500,3.9,75.0,Free delivery,Electrical & Storage,12
742,EUREKA FORBES,12150,12790,4.7,5.0,Free delivery,Electrical & Storage,5
744,Aquaguard ASTOR,16900,18390,3.5,8.0,Free delivery,Electrical & Storage,5
745,Blair EPIC,4806,16890,4.3,71.0,Free delivery,Electrical & Storage,5
746,Hi Tech,1750,2899,4.3,39.0,Delivery charges,Electrical & Non - Storage,5
748,Dr Aqua,14499,18999,4.3,23.0,Free delivery,Electrical & Storage,5
749,g.s. aquafresh,4499,12999,4.3,65.0,Free delivery,Electrical & Storage,12
750,Aqua Active,8369,24000,4.3,65.0,Delivery charges,Electrical & Storage,20
752,EUREKA FORBES,2350,16599,3.9,43.5,Delivery charges,Non - Electrical & Storage,5
753,Keel WHITE,6791,16500,4.3,58.0,Free delivery,Electrical & Storage,10
754,KENT GRAND,19099,21000,3.5,9.0,Free delivery,Electrical & Storage,20
757,Muskpure Digital,197,499,3.8,60.0,Delivery charges,Electrical & Non - Storage,5
758,BePURE 3G,12999,23999,4.0,45.0,Free delivery,Electrical & Storage,15
760,AQUA Grand+,4558,12500,3.7,63.0,Delivery charges,Electrical & Storage,15
761,G Series,4590,4990,4.3,8.0,Free delivery,Electrical & Storage,5
762,Aqua Supreme,4099,18000,4.3,77.0,Free delivery,Electrical & Storage,5
764,LIVPURE Bolt,15950,17000,3.8,6.0,Delivery charges,Electrical & Storage,15
766,AQUA Nexon,4939,14500,3.9,65.0,Free delivery,Electrical & Storage,18
768,Aquatec Plus,9499,19999,4.3,52.0,Free delivery,Electrical & Storage,15
769,Grand plus,4499,16500,3.4,72.0,Free delivery,Electrical & Storage,5
770,Aquafresh PRISM,4887,13999,3.7,65.0,Free delivery,Electrical & Storage,12
772,fedula AQUA,4555,14555,4.3,68.0,Delivery charges,Electrical & Storage,5
773,Aquafresh FUSION,4699,13999,4.0,66.0,Free delivery,Electrical & Storage,12
774,Grand plus,4399,16500,3.6,73.0,Free delivery,Electrical & Storage,12
776,Zero B,20825,24500,4.3,15.0,Free delivery,Electrical & Storage,5
777,Blair GLORY,6210,19999,4.3,68.0,Free delivery,Electrical & Storage,17
778,Dr. AQUA,12500,18500,4.3,32.0,Free delivery,Electrical & Storage,15
780,trypkon SAGA,4643,16426,3.7,71.0,Free delivery,Electrical & Storage,20
781,Prestige Tattva,2999,3949,4.0,24.0,Free delivery,Non - Electrical & Storage,9
782,Aquaguard ASTOR,17390,17790,4.0,2.0,Delivery charges,Electrical & Storage,5
784,trypkon PLUTO,5034,17455,3.7,71.0,Free delivery,Electrical & Storage,20
785,WATERPURE AWS,5319,11499,4.3,53.0,Delivery charges,Electrical & Storage,5
786,Pureit Mineral,12990,13625,4.1,4.0,Delivery charges,Electrical & Storage,12
788,Auric AURIC15L1221,4039,15999,4.3,74.0,Free delivery,Electrical & Storage,12
789,LG WW120EP,24999,16599,4.8,43.5,Delivery charges,Electrical & Storage,12
790,LG BH10,26999,16599,4.3,43.5,Delivery charges,Electrical & Storage,5
792,Prisaa Purosis,14999,20799,4.3,27.0,Delivery charges,Electrical & Storage,9
793,Alkaio Real,4499,12999,4.3,65.0,Free delivery,Electrical & Storage,12
794,Aquagrand EPIC,5129,14500,3.8,64.0,Free delivery,Electrical & Storage,15
796,AO Smith,2999,3999,4.3,25.0,Delivery charges,Electrical & Storage,5
797,Aquagrand NYC,4597,15500,4.0,70.0,Free delivery,Electrical & Storage,12
798,Blair MISTY,6210,19999,4.4,68.0,Free delivery,Electrical & Storage,17
800,Aqua Ultra,4390,13500,3.7,67.0,Free delivery,Electrical & Storage,15
801,Grand plus,4407,16500,4.3,73.0,Free delivery,Electrical & Storage,1
802,CUCKOO CP-FRP601SW,42999,47990,1.0,10.0,Free delivery,Electrical & Storage,15
804,Aqua Ace,999,1599,4.3,37.0,Delivery charges,Electrical & Storage,5
805,Dr. AQUA,14500,19500,4.3,25.0,Free delivery,Electrical & Storage,15
808,Aquagrand Seltos,4741,13500,3.9,64.0,Free delivery,Electrical & Storage,12
809,LIVPURE LIV-ZINGER-CU-2K(White),15760,19990,4.1,21.0,Free delivery,Electrical & Storage,15
810,Aqua Fresh,4793,13999,3.9,65.0,Free delivery,Electrical & Storage,5
812,AquaDart 25,6299,22999,4.0,72.0,Free delivery,Electrical & Non - Storage,5
813,Aquaguard Premier,17499,22000,4.3,20.0,Free delivery,Electrical & Storage,5
814,KENT GRAND,17449,20000,4.3,12.0,Free delivery,Electrical & Storage,5
816,aquadeal Aquagrand,5215,15990,4.3,67.0,Free delivery,Electrical & Storage,15
817,AquaDart 100,16899,36999,4.2,54.0,Free delivery,Electrical & Non - Storage,100
818,Dr Aqua,15299,18999,4.3,19.0,Free delivery,Electrical & Storage,5
820,AquaDpure Alkaline,5199,15999,4.3,67.0,Free delivery,Electrical & Storage,6000
822,AQUA Aqua_LC,5484,13999,4.3,60.0,Free delivery,Electrical & Storage,18
824,EUREKA FORBES,1594,1999,3.8,20.0,Free delivery,Non - Electrical & Storage,15
825,KENT Excell+,18800,20000,4.3,6.0,Free delivery,Electrical & Storage,5
826,super aqua,5990,16500,3.8,63.0,Free delivery,Electrical & Non - Storage,20
828,Blair EPIC,4851,19990,4.1,75.0,Free delivery,Electrical & Storage,5
829,Blair GLORY,6282,19999,4.0,68.0,Free delivery,Electrical & Storage,17
830,AQUA Red,4899,13500,4.0,63.0,Free delivery,Electrical & Storage,5
833,AQUA LIBRA,5899,13999,4.3,57.0,Delivery charges,Electrical & Storage,5
836,Aquagrand Shine,5034,15500,4.3,67.0,Free delivery,Electrical & Storage,12
837,AQUA LIBRA,5449,12998,4.3,58.0,Delivery charges,Electrical & Storage,5
838,Aqua Fresh,4887,13999,4.3,65.0,Free delivery,Electrical & Storage,5
840,AquaActive Hot,14190,36000,3.3,60.0,Free delivery,Electrical & Storage,15
842,AquaDpure 50,10259,33499,4.3,69.0,Free delivery,Electrical & Non - Storage,5
844,Aquaguard ASTOR,17000,17790,4.3,4.0,Delivery charges,Electrical & Storage,5
845,Aquaguard Enhance,19799,24000,4.3,17.0,Free delivery,Electrical & Storage,5
846,captain pure,17490,19990,4.3,12.0,Free delivery,Electrical & Storage,5
848,Hi Tech,1780,2990,4.3,40.0,Delivery charges,Electrical & Non - Storage,5
849,fedula AQUA,6499,17999,4.3,63.0,Delivery charges,Electrical & Storage,15
850,Pureit NXT,7990,10590,4.3,24.0,Free delivery,Electrical & Storage,5
852,Aquaultra C11D,4290,13499,3.8,68.0,Free delivery,Electrical & Storage,15
854,Remino 25,6174,18999,5.0,67.0,Free delivery,Electrical & Non - Storage,25
856,Remino RO+UV+UF+TDS,4749,15999,3.7,70.0,Free delivery,Electrical & Storage,12
857,AQUA Model,4844,15500,4.6,68.0,Free delivery,Electrical & Storage,10
858,ALAUKIK Copper,4999,19990,3.7,74.0,Free delivery,Electrical & Storage,15
860,RUBY UA-SZCV-KDZS-12Stage,4999,15000,4.1,66.0,Free delivery,Electrical & Storage,15
862,Aquagrand SKYLAND,5034,14500,3.3,65.0,Free delivery,Electrical & Storage,18
864,EUREKA FORBES,16990,18390,4.3,7.0,Free delivery,Electrical & Storage,5
865,Aquafresh SWIFT,4699,13999,3.7,66.0,Free delivery,Electrical & Storage,12
866,AquaActive Hot,14406,33000,4.3,56.0,Delivery charges,Electrical & Storage,12
868,Purosis Aqua,10000,22500,4.3,55.0,Delivery charges,Electrical & Storage,15
869,Grand plus,4949,16500,3.6,70.0,Free delivery,Electrical & Storage,5
870,WATERPURE Non,1282,2200,4.3,41.0,Free delivery,Non - Electrical & Storage,16
873,AQUA grand,4899,12999,4.3,62.0,Delivery charges,Electrical & Storage,5
874,LG WW150NP,24490,16599,4.5,43.5,Delivery charges,Electrical & Storage,5
876,Aquamart Alkaline,4844,19999,4.3,75.0,Free delivery,Electrical & Storage,12
877,Grand plus,4399,16500,3.8,73.0,Free delivery,Electrical & Storage,5
878,AquaActive MistyXtream2Black,8160,27600,4.3,70.0,Delivery charges,Electrical & Storage,14
880,ONE RO,6199,24999,4.3,75.0,Free delivery,Electrical & Non - Storage,5
881,AquaDart Premium,5499,19999,4.3,72.0,Free delivery,Electrical & Storage,12
882,Kinsco 6,5039,19998,3.9,74.0,Free delivery,Electrical & Storage,15
884,Grand plus,4399,16500,3.7,73.0,Free delivery,Electrical & Storage,5
885,E.F.M Multilife,7176,11999,4.3,40.0,Free delivery,Electrical & Storage,5
886,ojhashree Stainlness,1699,2850,4.3,40.0,Free delivery,Non - Electrical & Storage,5
888,Remino Active,4999,12999,4.3,61.0,Free delivery,Electrical & Storage,12
889,LG WW140NP,17499,22900,4.3,23.0,Delivery charges,Electrical & Storage,5
890,Eureka Forbes,16990,21990,4.3,22.0,Delivery charges,Electrical & Storage,5
892,Purosis Puroaqua,8500,11500,4.3,26.0,Delivery charges,Electrical & Storage,5
893,Panasonic Tk-Cs50-Da,4800,8745,4.1,45.0,Free delivery,Electrical & Non - Storage,60
894,Aquadfresh Active,5099,19999,4.3,74.0,Free delivery,Electrical & Storage,6000
896,Clean jal,12000,12999,4.3,7.0,Free delivery,Electrical & Storage,2500
900,Remino Advanced,5414,15999,4.3,66.0,Free delivery,Electrical & Storage,12
901,LG WW172EP,50000,16599,4.3,43.5,Delivery charges,Electrical & Storage,5
902,AquaDart Active,4799,19999,4.3,76.0,Free delivery,Electrical & Storage,5
904,Aquaultra Advance,5149,13500,4.3,61.0,Free delivery,Electrical & Storage,5
905,AquaDart Copper,4999,18999,4.3,73.0,Free delivery,Electrical & Storage,12
906,Aquamart Copper,4511,19999,4.3,77.0,Free delivery,Electrical & Storage,12
908,PURELLA BOB,5849,16999,4.3,65.0,Free delivery,Electrical & Storage,15
909,AQUA AQUANEEO-SKYBLUE,5482,11999,4.3,54.0,Free delivery,Electrical & Storage,18
910,AquaDart RO,4849,19999,4.3,75.0,Free delivery,Electrical & Storage,12
912,nexus pure,5579,17724,4.0,68.0,Free delivery,Electrical & Storage,20
914,Hydroshell AquaX,4999,15999,4.3,68.0,Free delivery,Electrical & Storage,12
917,AQUA AQUACYCLONE-BLUE,5480,12449,4.3,55.0,Free delivery,Electrical & Storage,18
918,Aquagrand Plus,6299,16500,4.3,61.0,Free delivery,Electrical & Storage,5
920,Aquafresh NYC,4793,13999,4.3,65.0,Free delivery,Electrical & Storage,12
921,Aquadfresh Copper,4849,19999,4.3,75.0,Free delivery,Electrical & Storage,6000
922,AquaDart 100,16499,35999,4.3,54.0,Free delivery,Electrical & Non - Storage,5
924,AquaDart Copper,5299,19999,4.3,73.0,Free delivery,Electrical & Storage,5
925,AQUA AQUANEEO-BLACK,5482,11999,4.3,54.0,Free delivery,Electrical & Storage,18
926,HAVELLS DELITE,20369,27917,4.3,27.0,Free delivery,Electrical & Storage,20
928,AQUA LIBRA,3999,14999,4.3,73.0,Free delivery,Electrical & Storage,5
929,Peore Pro-60,13500,20999,4.6,35.0,Free delivery,Electrical & Storage,5
930,Hydroshell Water,5176,13999,4.3,63.0,Free delivery,Electrical & Non - Storage,12
932,AQUA AQUACYCLONE-PURPLE,5482,12449,4.3,55.0,Free delivery,Electrical & Storage,18
933,AQUA AQUADIGI-WHITE,5982,12449,4.3,51.0,Free delivery,Electrical & Storage,18
934,AQUA AQUACRIZEL-SKY,5482,11999,4.3,54.0,Free delivery,Electrical & Storage,18
936,AQUA ,4999,12999,4.3,61.0,Free delivery,Electrical & Storage,5
937,AquaDpure Active,5199,15999,4.3,67.0,Free delivery,Electrical & Storage,6000
938,Peore Pro-40,13500,20999,4.3,35.0,Free delivery,Electrical & Storage,30
940,AquaDart RO,4899,19999,4.3,75.0,Free delivery,Electrical & Storage,5
941,AQUA AQUALAKE-PURPLE,5482,12449,4.3,55.0,Free delivery,Electrical & Storage,18
942,AQUA mineral,5482,12999,4.3,57.0,Free delivery,Electrical & Storage,18
945,ONE RO,10499,25999,4.3,59.0,Free delivery,Electrical & Non - Storage,5
946,Aquagrand Megastar,4699,17000,4.3,72.0,Free delivery,Electrical & Storage,5
948,Aquamart Alkaline,4999,15999,4.3,68.0,Free delivery,Electrical & Storage,6000
950,AquaDart Alkaline,4899,19999,4.3,75.0,Free delivery,Electrical & Storage,5
952,Blair SWIFT,4971,19999,4.3,75.0,Free delivery,Electrical & Storage,17
953,Aquamart Advance,4511,19999,4.3,77.0,Free delivery,Electrical & Storage,5
954,Aquafresh SWIF,4652,13999,4.3,66.0,Free delivery,Electrical & Storage,12
956,Cosea New,4790,12500,4.3,61.0,Free delivery,Electrical & Storage,7
957,Royal Aquafresh,4904,16500,4.3,70.0,Free delivery,Electrical & Storage,8
958,E.F.M Multilife,7079,11999,4.3,41.0,Free delivery,Electrical & Storage,5
960,Blair ALFA,4930,19999,4.3,75.0,Free delivery,Electrical & Storage,17
961,AQUA NYC,5034,14500,4.1,65.0,Free delivery,Electrical & Storage,12
962,AQUA AquaPearl,7989,18000,4.3,55.0,Free delivery,Electrical & Storage,20
964,Aquaultra A700,4699,11500,3.8,59.0,Free delivery,Electrical & Storage,5
965,AquaDart RO,4899,19999,4.3,75.0,Free delivery,Electrical & Storage,12
966,AK IVORY,4299,14999,4.3,71.0,Delivery charges,Electrical & Storage,15
968,AQUA AQUACRIZEL-BLACK,5482,11999,4.3,54.0,Free delivery,Electrical & Storage,18
969,Blair ALTIS,4971,19999,4.3,75.0,Free delivery,Electrical & Storage,17
970,Blair GLORY,5830,19999,4.3,70.0,Free delivery,Electrical & Storage,17
973,Blair CRYSTA,4929,19999,4.3,75.0,Free delivery,Electrical & Storage,17
974,Blair FUSION,4934,19999,4.3,75.0,Free delivery,Electrical & Storage,17
976,AQUA Red,5699,14500,4.3,60.0,Free delivery,Electrical & Storage,5
977,ojhashree Aqua,5990,15990,4.3,62.0,Free delivery,Electrical & Storage,5
982,AquaDart Premium,5399,19999,3.7,73.0,Free delivery,Electrical & Storage,5
